422	שפרינצק יוסף
423	שרי ראובן
424	שריד אברהם
425	שרף זאב
426	ששון אליהו
427	ששון-סילס בנימין
428	תבורי אפרים
429	תלמי אמה
430	תלמי מאיר
431	תמיר יוסף
432	תמיר שמואל
433	גרי יעקב מאיר
434	דולצ'ין אריה
435	טולידאנו יעקב משה
436	כהן חיים
437	כץ ישראל
438	ורדי הרצל
439	לוריא צבי
440	סגל צבי
441	שטנר מרדכי
442	אוסטר דניאל
443	ברלין אליהו
444	גולד זאב
445	גרינבוים יצחק
446	דובקין אליהו
447	כובאשי סעדיה
448	קצנלסון אברהם
449	פישמן יהודה לייב הכהן
450	בן-ציון קשת
451	אופיר אריה
452	בורלא יהודה
453	ברלין מאיר
454	הגר מנחם
455	וינשטיין ברוך
456	כצנלסון רחל
457	למברגר שמואל
458	רובין יעקב
